"team","id","name","photo_url","position","evaluation"
"santos","caju","Caju","https://s.glbimg.com/es/sde/f/2016/05/01/54af0c3c3d1522543c64c18ca5a50a22_80x80.png","LAE","5"
"santos","copete","Copete","https://s.glbimg.com/es/sde/f/2017/05/02/38284b2eba393aa675069aff35def330_80x80.png","ATA","5"
"atletico-mg","victor","Victor","https://s.glbimg.com/es/sde/f/2017/04/03/444816970098790387faf6c2c5c0444f_80x80.png","GOL","1"
"atletico-mg","cleiton","Cleiton","https://s.glbimg.com/es/sde/f/2017/04/03/ef54b93128f4d412c55c7cd27c83323b_80x80.png","GOL","4"
"atletico-mg","patric","Patric","https://s.glbimg.com/es/sde/f/2018/03/20/4865bc3b05a4eda4bbc4fd74238ab6a4_80x80.png","LAD","5"
"atletico-mg","samuel-xavier","Samuel Xavier","https://s.glbimg.com/es/sde/f/2018/03/20/e5e73b264ec674ff095855be3bf9a152_80x80.png","LAD","6"
"atletico-mg","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_80x80.png","LAE","3"
"atletico-mg","danilo-barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2018/03/20/db741625f3ee67a90f6966faa875dd66_80x80.png","LAE","4"
"atletico-mg","leonardo-silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2017/04/03/d52533a1acf6457724394d769b43771f_80x80.png","ZAE","3"
"atletico-mg","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/03/2f4037ee6c2ce20e96ff5cb1f6db210f_80x80.png","ZAD","3"
"atletico-mg","iago-maidana","Iago Maidana","https://s.glbimg.com/es/sde/f/2018/03/20/080ee1951f38a0381e5eccc11b1256cb_80x80.png","ZAD","4"
"atletico-mg","bremer","Bremer","https://s.glbimg.com/es/sde/f/2017/07/05/3cdbb709a4c4b26a7debd8d34ab4d855_80x80.png","ZAD","4"
"atletico-mg","adilson","Adilson","https://s.glbimg.com/es/sde/f/2017/04/03/8a5b4672974501d33850ca575e0f117c_80x80.png","VOL","3"
"atletico-mg","elias","Elias","https://s.glbimg.com/es/sde/f/2017/04/03/9fbc7e32d0d9db7b948212b98c23212a_80x80.png","VOL","3"
"atletico-mg","gustavo-blanco","Gustavo Blanco","https://s.glbimg.com/es/sde/f/2017/07/04/bdab16330aca79897bf4fa25fd8d7eaf_80x80.jpeg","MEC","4"
"atletico-mg","arouca","Arouca","https://s.glbimg.com/es/sde/f/2018/03/20/68ec2d32eb7682f94494c4ee2cc01766_80x80.png","VOL","4"
"atletico-mg","yago","Yago","https://s.glbimg.com/es/sde/f/2017/04/03/bd1a20fcc43bf36e13dd321aa526e278_80x80.png","VOL","4"
"atletico-mg","cazares","Cazares","https://s.glbimg.com/es/sde/f/2017/04/03/6ccb564ce56c9f6aad79040ab5f8f570_80x80.png","MEC","2"
"atletico-mg","otero","Otero","https://s.glbimg.com/es/sde/f/2017/04/03/9fe40eece7847c6e2d8feca1248f43a9_80x80.png","MEC","2"
"atletico-mg","luan","Luan","https://s.glbimg.com/es/sde/f/2017/04/03/5472237b431bf42b1ce79273d48c8e2f_80x80.png","ATA","2"
"atletico-mg","tomas-andrade","Tomás Andrade","https://s.glbimg.com/es/sde/f/2018/03/20/3713f34bd7438d3e7c84de0f426fe826_80x80.png","MEC","4"
"atletico-mg","roger-guedes","Róger Guedes","https://s.glbimg.com/es/sde/f/2018/03/20/75c54272e675d64530aeb9cb60976572_80x80.png","ATA","4"
"atletico-mg","erik","Erik","https://s.glbimg.com/es/sde/f/2018/03/20/09a462d5c0759d7a0970b83c37640c63_80x80.png","ATA","4"
"atletico-mg","ricardo-oliveira","Ricardo Oliveira","https://s.glbimg.com/es/sde/f/2018/03/20/08e587e5b70fbd4605dddaf9aaae5281_80x80.png","ATA","2"
"atletico-mg","carlos","Carlos","https://s.glbimg.com/es/sde/f/2018/03/20/338b563f51b8c2eb19bd4bfaf237a8cb_80x80.png","ATA","5"
"sao-paulo","cueva","Cueva","https://s.glbimg.com/es/sde/f/2017/08/24/9ea34016bae7f001bbb849c8d907c1f4_80x80.png","MEC","2"
"sao-paulo","jucilei","Jucilei","https://s.glbimg.com/es/sde/f/2017/04/25/a6c1399add6e3c7d17ad9a708974cd21_80x80.png","VOL","2"
"sao-paulo","diego-souza","Diego Souza","https://s.glbimg.com/es/sde/f/2018/03/11/2190ebb7a39928f348b04acb3c4ee9e7_80x80.png","MEC","2"
"sao-paulo","anderson-martins","Anderson Martins","https://s.glbimg.com/es/sde/f/2018/03/11/52e391e51311c7369cb27a17c9399207_80x80.png","ZAE","3"
